model_id,country_ref,size,MAE,L2,Cosine
Qwen_Qwen3-32B,China,XL,20.649301512952633,62.650071864364676,0.9055542073950217
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,China,XL,21.62280927068649,63.80347113438944,0.9000971888009723
google_gemma-3-27b-it,USA,XL,13.799172358682561,37.51891150050932,0.9913881427604299
mistralai_Mistral-7B-Instruct-v0.3,Europe-France,M,29.67765753633589,80.67723164384276,0.9514342210547005
